symbol,window_start,window_end,regime,trades,wins,losses,gross_profit,gross_loss,total_return_pct,max_drawdown_pct,exit_reasons
R_75,2026-04-05,2026-07-04,ranging/high-vol,2,1,1,1.60,0.00,15.98,0.02,"TP:1 EOD_MARK:1"
R_100,2025-07-09,2025-10-07,ranging/high-vol,3,1,2,0.13,1.31,-11.76,13.11,"BIAS_REVERSAL:1 SL:1 EOD_MARK:1"
R_100,2025-08-08,2025-11-06,ranging/high-vol,2,1,1,0.67,0.80,-1.34,8,"SL:1 EOD_MARK:1"
R_100,2025-09-07,2025-12-06,ranging/high-vol,3,1,2,1.60,1.60,0,16,"SL:2 TP:1"
R_100,2025-10-07,2026-01-05,ranging/high-vol,2,1,1,1.60,0.80,8,6.9,"TP:1 SL:1"
R_100,2025-11-06,2026-02-04,ranging/high-vol,3,2,1,1.70,0.80,8.97,8,"SL:1 TP:1 EOD_MARK:1"
R_100,2025-12-06,2026-03-06,ranging/high-vol,4,2,2,1.82,1.21,6.1,8,"SL:1 TP:1 BIAS_REVERSAL:1 EOD_MARK:1"
R_100,2026-01-05,2026-04-05,ranging/high-vol,4,2,2,3.20,1.21,19.86,6.26,"TP:2 BIAS_REVERSAL:1 SL:1"
R_100,2026-02-04,2026-05-05,ranging/high-vol,3,1,2,1.60,1.42,1.79,12.25,"TP:1 SL:1 BIAS_REVERSAL:1"
R_100,2026-03-06,2026-06-04,ranging/high-vol,3,2,1,0.82,0.62,1.99,6.14,"BIAS_REVERSAL:2 EOD_MARK:1"
R_100,2026-04-05,2026-07-04,ranging/high-vol,3,2,1,0.72,0.62,0.95,6.21,"BIAS_REVERSAL:3"
1HZ10V,2025-07-09,2025-10-07,ranging/med-vol,3,2,1,0.21,0.02,1.84,0.24,"BIAS_REVERSAL:2 EOD_MARK:1"
1HZ10V,2025-08-08,2025-11-06,ranging/med-vol,2,1,1,0.20,0.02,1.8,0.2,"BIAS_REVERSAL:2"
1HZ10V,2025-09-07,2025-12-06,ranging/med-vol,3,0,3,0.00,0.38,-3.84,3.84,"BIAS_REVERSAL:3"
1HZ10V,2025-10-07,2026-01-05,ranging/med-vol,1,0,1,0.00,0.26,-2.58,2.58,"BIAS_REVERSAL:1"
1HZ10V,2025-11-06,2026-02-04,ranging/med-vol,1,0,1,0.00,0.26,-2.58,2.58,"BIAS_REVERSAL:1"
1HZ10V,2025-12-06,2026-03-06,ranging/med-vol,1,1,0,0.37,0.00,3.73,0,"EOD_MARK:1"
