symbol,direction,entry_time,entry_price,exit_time,exit_price,stake,multiplier,pnl,outcome,equity_after
frxEURGBP,buy,2025-08-01T09:15:00.000Z,0.86686,2025-08-12T00:00:00.000Z,0.86482,1,10,-0.02,BIAS_REVERSAL,9.87
1HZ15V,sell,2025-08-02T08:45:00.000Z,14608.714,2025-09-09T00:00:00.000Z,13433.049,1,10,0.80,BIAS_REVERSAL,10.12
cryETHUSD,buy,2025-08-04T02:45:00.000Z,3546.335,2025-08-13T04:30:00.000Z,4681.162200000001,1,5,1.60,TP,11.97
frxXAUUSD,buy,2025-08-04T13:00:00.000Z,3367.87,2025-10-06T00:00:00.000Z,3906.7291999999998,1,10,1.60,TP,11.50
R_75,buy,2025-08-04T20:15:00.000Z,100793.2395,2025-08-06T00:00:00.000Z,93497.0549,1,5,-0.36,BIAS_REVERSAL,9.81
R_50,sell,2025-08-05T09:00:00.000Z,120.7362,2025-08-08T00:00:00.000Z,124.4863,1,10,-0.31,BIAS_REVERSAL,9.44
JD100,sell,2025-08-05T09:15:00.000Z,1919.2,2025-08-13T14:45:00.000Z,2226.272,1,5,-0.80,SL,10.00
R_25,buy,2025-08-08T01:00:00.000Z,2936.283,2025-08-12T00:00:00.000Z,2834.694,1,10,-0.35,BIAS_REVERSAL,9.72
R_50,buy,2025-08-08T05:00:00.000Z,125.5719,2025-08-18T00:00:00.000Z,124.1434,1,10,-0.11,BIAS_REVERSAL,9.33
1HZ50V,sell,2025-08-09T07:45:00.000Z,211489.63,2025-08-24T04:30:00.000Z,228408.8004,1,10,-0.80,SL,9.20
frxEURGBP,sell,2025-08-12T07:00:00.000Z,0.86417,2025-08-19T00:00:00.000Z,0.8638,1,10,0.00,BIAS_REVERSAL,9.87
frxGBPJPY,buy,2025-08-12T08:15:00.000Z,199.483,2025-08-20T00:00:00.000Z,199.18,1,10,-0.02,BIAS_REVERSAL,9.95
JD50,buy,2025-08-13T06:15:00.000Z,39545.43,2025-08-23T00:00:00.000Z,39762.1,1,10,0.05,BIAS_REVERSAL,12.45
cryETHUSD,buy,2025-08-13T09:45:00.000Z,4650.085,2025-08-26T00:00:00.000Z,4362.755,1,5,-0.31,BIAS_REVERSAL,11.66
JD100,buy,2025-08-14T04:00:00.000Z,2398.78,2025-08-20T00:00:00.000Z,2362.29,1,5,-0.08,BIAS_REVERSAL,9.92
1HZ90V,buy,2025-08-16T02:30:00.000Z,20011.496,2025-08-28T00:00:00.000Z,18277.092,1,5,-0.43,BIAS_REVERSAL,8.77
BOOM600,sell,2025-08-16T07:00:00.000Z,5454.754,2025-08-24T00:00:00.000Z,6092.673,1,5,-0.58,BIAS_REVERSAL,9.47
R_50,sell,2025-08-18T01:00:00.000Z,123.4822,2025-08-21T00:00:00.000Z,124.8452,1,10,-0.11,BIAS_REVERSAL,9.22
STPRNG,buy,2025-08-18T15:00:00.000Z,8399.1,2025-09-03T00:00:00.000Z,8231.6,1,10,-0.20,BIAS_REVERSAL,9.82
1HZ10V,buy,2025-08-19T04:00:00.000Z,9058.34,2025-09-18T00:00:00.000Z,9239.87,1,10,0.20,BIAS_REVERSAL,10.18
